"fruit0","0"
"fruit1","1"
"fruit2","2"
"fruit3","3"
"fruit4","4"
"fruit5","5"
"fruit6","6"
"fruit7","7"
"fruit8","8"
"fruit9","9"
"fruit10","10"
"fruit11","11"
"fruit12","12"
"fruit13","13"
"fruit14","14"
"fruit15","15"
"fruit16","16"
"fruit17","17"
"fruit18","18"
"fruit19","19"
"fruit20","20"
"fruit21","21"
"fruit22","22"
"fruit23","23"
"fruit24","24"
"fruit25","25"
"fruit26","26"
"fruit27","27"
"fruit28","28"
"fruit29","29"
"fruit30","30"
"fruit31","31"
"fruit32","32"
"fruit33","33"
"fruit34","34"
"fruit35","35"
"fruit36","36"
"fruit37","37"
"fruit38","38"
"fruit39","39"
"fruit40","40"
"fruit41","41"
"fruit42","42"
"fruit43","43"
"fruit44","44"
"fruit45","45"
"fruit46","46"
"fruit47","47"
"fruit48","48"
"fruit49","49"
"fruit50","50"
"fruit51","51"
"fruit52","52"
"fruit53","53"
"fruit54","54"
"fruit55","55"
"fruit56","56"
"fruit57","57"
"fruit58","58"
"fruit59","59"
"fruit60","60"
"fruit61","61"
"fruit62","62"
"fruit63","63"
"fruit64","64"
"fruit65","65"
"fruit66","66"
"fruit67","67"
"fruit68","68"
"fruit69","69"
"fruit70","70"
"fruit71","71"
"fruit72","72"
"fruit73","73"
"fruit74","74"
"fruit75","75"
"fruit76","76"
"fruit77","77"
"fruit78","78"
"fruit79","79"
"fruit80","80"
"fruit81","81"
"fruit82","82"
"fruit83","83"
"fruit84","84"
"fruit85","85"
"fruit86","86"
"fruit87","87"
"fruit88","88"
"fruit89","89"
"fruit90","90"
"fruit91","91"
"fruit92","92"
"fruit93","93"
"fruit94","94"
"fruit95","95"
"fruit96","96"
"fruit97","97"
"fruit98","98"
"fruit99","99"
"fruit100","100"
"fruit101","101"
"fruit102","102"
"fruit103","103"
"fruit104","104"
"fruit105","105"
"fruit106","106"
"fruit107","107"
"fruit108","108"
"fruit109","109"
"fruit110","110"
"fruit111","111"
"fruit112","112"
"fruit113","113"
"fruit114","114"
"fruit115","115"
"fruit116","116"
"fruit117","117"
"fruit118","118"
"fruit119","119"
"fruit120","120"
"fruit121","121"
"fruit122","122"
"fruit123","123"
"fruit124","124"
"fruit125","125"
"fruit126","126"
"fruit127","127"
"fruit128","128"
"fruit129","129"
"fruit130","130"
"fruit131","131"
"fruit132","132"
